Ermenegildo;Verdi;ermenegildo.verdi@hotmail.com;Password1!;C;
Osvaldo;Deverobis;osvaldo.deverobis@hotmail.com;5a71bcab25b1656fc00088c74083f4fa7cf99bc159d5b56ecb54fa1239901145ab24a7635ca1beff6f36b1a5f456cfdc8271d09ad38eb045262e446cca7407f4;C;
Paolino;Paperino;paolino.paperino@duckduckgo.com;5a71bcab25b1656fc00088c74083f4fa7cf99bc159d5b56ecb54fa1239901145ab24a7635ca1beff6f36b1a5f456cfdc8271d09ad38eb045262e446cca7407f4;C;
Pietro;Biasotti;pietrobiasotti@gmsil.com;5a71bcab25b1656fc00088c74083f4fa7cf99bc159d5b56ecb54fa1239901145ab24a7635ca1beff6f36b1a5f456cfdc8271d09ad38eb045262e446cca7407f4;C;
Christian;Canossa;christian.canossa@gmail.com;5a71bcab25b1656fc00088c74083f4fa7cf99bc159d5b56ecb54fa1239901145ab24a7635ca1beff6f36b1a5f456cfdc8271d09ad38eb045262e446cca7407f4;A;
Mario;Rossi;mario.rossi@gmail.com;5a71bcab25b1656fc00088c74083f4fa7cf99bc159d5b56ecb54fa1239901145ab24a7635ca1beff6f36b1a5f456cfdc8271d09ad38eb045262e446cca7407f4;A;
Pippo;Guff;pippo.guff@gmail.com;5a71bcab25b1656fc00088c74083f4fa7cf99bc159d5b56ecb54fa1239901145ab24a7635ca1beff6f36b1a5f456cfdc8271d09ad38eb045262e446cca7407f4;C;
Marco;Trauzzi;marco.trauzzi@gmail.com;5a71bcab25b1656fc00088c74083f4fa7cf99bc159d5b56ecb54fa1239901145ab24a7635ca1beff6f36b1a5f456cfdc8271d09ad38eb045262e446cca7407f4;C;
Pippolo;Poppi;pippolo.poppi@gmail.com;5a71bcab25b1656fc00088c74083f4fa7cf99bc159d5b56ecb54fa1239901145ab24a7635ca1beff6f36b1a5f456cfdc8271d09ad38eb045262e446cca7407f4;C;
Danilo;Basini;danilobasini@gmail.com;00eac5730441c8de8e111a2b3d4620a6735d0ce80116eae6b7598e25b0dc05f26647d3ea1df25f8611c3226bc544d2eb7bc82e64d65c3233919c2ed85e29bd45;C;
